1,Utility Bills,
2,Other Bills,
3,Loans,
4,Transport,
5,School/Sport,
6,Spending,
9,Other,
10,Electricity,167
11,Gas,110
12,Water,110
13,Council Rates,127
21,Phone,70
22,Internet,60
23,Health Insurance,185.4
24,Home Insurance,140
25,Life Insurance,13
30,Home Loan,3700
31,Credit Card,0
32,Abbu Loan,0
33,Accounting,0
34,Rental,10
35,Banking,30
37,Hajj,247
40,Car expenses,350
41,Fuel,360
42,Bus,180
51,Rohaan School,420
52,Azlan Preschool,170
54,Quran Class,0
55,Sports,100
60,Grocery/Kharcha,1517
62,Homewares/Online,150
63,Gifts,100
64,Adeel lunch,150
65,Entertainment,350
66,Health,100
67,Charity,100
90,Cash,
92,Uncategorised,
95,Business,
96,People,
97,Expense,
98,Transfer,
99,Income,
